PRODUCT_NAME,CATEGORY,PRICE,PRODUCT_ID
Collectible India Brass Diya Lamp Lotus Shape -Decorative Akhand Deepak for Pooja - Set of 2 (Gold_3 X 3 X 1.5 Inches),Home Decor,499,PRD11098
Crafts World Wooden Home Decorative Wall Hanging  Printed Designer Wall Hanging  Home Decor  Wall Hanging For Living Ro,Home Decor,999,PRD11099
"AIR-ROMA Combo of 2 Air Freshener Spray, Fragrance- Rose Original & Jasmine Flower (400ml)",Home Decor,498,PRD11100
"Decals Design Green Autumn Leaves Branch Wall Sticker (PVC Vinyl, 50 cm x 70 cm, Green)",Home Decor,664,PRD11101
3V PRODUCTS: Dasangam Powder 50g | Bhuvaneswari Dasangam Dhoop Powder for Pooja & Home,Home Decor,110,PRD11102
Baburao Fridge Magnet- Pack of 1 Bollywood Theme Fridge Magnets,Home Decor,399,PRD11103
HOKIPO® Eco-Friendly Bamboo Wooden Coasters for Home Pan Pot Holder for Dining Table Heat Pad for Kitchen - Pack of 4 (AR2,Home Decor,449,PRD11104
"DESHABOINA VN Plastic Nazar Suraksha Kawach, Evil Eye Protector, Drishti Bommai, Nazar Battu (Large) for House, Office, Sh",Home Decor,599,PRD11105
"Litleo Artificial Flowers with Wooden Pot (Yellow, 2 Piece)",Home Decor,549,PRD11106
"Pure Source India Aroma Essential Oils 9 Fragrances In 1 Pack, 10 Ml Each, (Fragrances: Lemon Grass, Lavender, Jasmine, Ro",Home Decor,999,PRD11107
Borosil Medium Brass Diffuser (Multicolour) (HDDBBSP0100),Home Decor,995,PRD11108
TIED RIBBONS Green Ficus Artificial Plant with Pot Stand (1 Feet) Natural Looking Artificial Plants for Home Decor Living ,Home Decor,1749,PRD11109
Loop Group ® Wooden Tabletop Makeup Mirror Vanity Table Stand Mirror Swivel Bamboo Mirror for Bedroom Bathroom Desk (Squar,Home Decor,3600,PRD11110
Shri Kanth Art Multi Plate Wooden Wall Hanging  Wall Hanger for HomeDecor Wall Art  Gifts  Office  Wooden Home Decor ,Home Decor,599,PRD11111
CraftVatika Ganesh Idol Murti Statue for Car Dashboard Gift Lord Ganesha Ganpati Idols Showpiece Figurine for Home Pooja R,Home Decor,599,PRD11112
"SN Handicrafts Stone Adiyogi Shiva Mahadev Murti for Car Dashboard, Pooja, Home and Office Decor - 5.35 inch (Matte Black,",Home Decor,999,PRD11113
"Ikea Digital Multi Purpose ABS plastic Alarm Clock for Bedroom, Has Thermometer, Timer, Alarm (White)",Home Decor,611,PRD11114
VRB DecTM Artificial Greenery Ferns Plants Vines Fake Ivy Hanging Flowers Vine Pine Needle Wall Hanging for Home Decor Doo,Home Decor,1249,PRD11115
"PUTHAK Plastic Mallow Vase for Flowers, Unbreakable Vase, 8.5x3.5Inch Ceramic Look Flower Vase, Decorative Modern Floral V",Home Decor,599,PRD11116
"BUYERZONE WITH BZ LOGO BUYERZONE Smart Night Light Plastic Digital Alarm Clock with Date & Indoor Temperature, Battery Ope",Home Decor,999,PRD11117
"ArtX Paper Motivational Wall Frames Quotes Wall Art Painting, Framed Paintings For Home Office Decor, 20 X 20 inches (Comb",Home Decor,1399,PRD11118
Odonil Bathroom Air Freshener Blocks - 150g (75g*2) | Long Lasting Fragrance,Home Decor,624,PRD11119
"VAH-Kya Bat Hai !! Moment Photo Frame Black Colour Self Adhesive Wall Hanging for Bed Room, Living Room, Birthday, him wit",Home Decor,1999,PRD11120
"Plus Value Feng Shui Golden Arowana Fish Strong Wealth Symbol & Protects Mishaps, Troubles Vastu Products Home & Office, F",Home Decor,1500,PRD11121
i Creations Personalised Home Name Plate with Golden Acrylic embossed Letters wooden background (9 x 16 Inch),Home Decor,2499,PRD11122
Oreva Round Plastic Wall Clock (32 cm x 4 cm x 32 cm) White Dial and Silver Rim AQ-1687,Home Decor,525,PRD11123
Gesto LED String Lights - 20 Meter Fairy Lights with 360 Degree Light LED Bulb - Waterproof & Bendable Copper LED Serial L,Home Decor,1999,PRD11124
R Ayurveda Copper Decorative Metal Diya Traditional Diya Urli Tealight Holder Golden Bowl for Floating Flowers and Tea Lig,Home Decor,1599,PRD11125
Air freshener Flowers Block for Bathroom and Toilet 60 gm Each - Pack of 6,Home Decor,499,PRD11126
FOKRIM Black Vinyl Marble Aluminum Foil Kitchen Stickers Oil-Proof Waterproof Self Adhesive Wallpaper PVC Bathroom Wall St,Home Decor,799,PRD11127
"wolpin Wall Stickers Wallpaper (45 x 300 cm) Living Room, Bedroom, Textured Embossed Peony Roses Decal Floral Home Decorat",Home Decor,1499,PRD11128
Glade Touch n Fresh Wild Lavender Refill (12 ml),Home Decor,95,PRD11129
PARKOTA HOUSE Designer Home Décor Ganesh Mantra Wooden Wall Hangings for home living room bedroom-Large Size Multicolor (M,Home Decor,999,PRD11130
Paper Plane Design wall door hanging wooden home decoration item (MUMMY),Home Decor,599,PRD11131
"DECORIA Decor Home Metal Flower Wall Art Decor Large Indoor Wall Hanging Sculptures, Natural Art Home Decoration for Home ",Home Decor,4999,PRD11132
PAPER PLANE DESIGN wall hanging decor home decoration item (FAMILY),Home Decor,699,PRD11133
"JaipurCrafts Webelkart Cast Iron Wall Hanging Showpiece (22.86 x 2.54 x 22.86, Multicolour, Religious)",Home Decor,1799,PRD11134
"GLOBCRATE Wooden Mini Temple for Home and Offfice Wall Mounted, Hanging Pooja Mandir Decoration Shelf Cabinet for Temple W",Home Decor,499,PRD11135
"Good Hope PlexiGlass Food Panda Funny Framed Poster, Multicolor, Print,10 Inch X 13 Inch, Framed",Home Decor,499,PRD11136
Party Propz Rainbow Theme Birthday Decorations - Pack of 54 Happy Birthday Decoration Kit with Pastel Balloons  Golden Fo,Home Decor,999,PRD11137
Gold Art India Gaddi Ganesha Premium polyresin Lord Ganesha for Car Dashboard Ganesha Ganpati Idol God of Success and Luck,Home Decor,1199,PRD11138
"tu casa DW-440-USB-Led Copper Fairy Light, Waterproof(10 MTRS-100 Bulbs) Nickel Finish -Warm White",Home Decor,999,PRD11139
Rangoli New Modern Art Two Aesthetic Beautiful Peacocks Large Wall Sticker Size-50cm*70cm,Home Decor,799,PRD11140
Collectible India Buddha Monk Set of 4 Statue Figurines Showpiece - Cute Mini Buddha Idol Statue for Car Dashboard Table T,Home Decor,599,PRD11141
"TIED RIBBONS Artificial Eucalyptus Flowers Leaves (Set of 5, Green, 40.64 cm) for Vase Home Décor Living Room Bedroom Offi",Home Decor,999,PRD11142
"Old Tree Sandalwood Essential Oil for Aromatherapy, 30 ml",Home Decor,839,PRD11143
HANDCRAFTSZILLA Wooden Wall Clock for Home  Stylish Wall Clock for Home Decor  Vintage Silent Wall Clock for Home  M,Home Decor,1999,PRD11144
"AHN Pranjals House Metal Religious Kanha Playing Flute Wall Hanging 23 inches For Home Decoration, Red",Home Decor,2999,PRD11145
AMFIN® Happy Birthday Letter Candles / 1st Birthday Candle / Happy Birthday Candle for Birthday Theme / Happy Birthday Can,Home Decor,399,PRD11146
"aarna Scented Piller Candle for Home Dcor and Candle Light Dinner, Party, Home (Size 3X3) (Color- White)",Home Decor,999,PRD11147
"Heart Home Roman Number Round Shaped Wooden 10"" Wall Clock (Brown, Standard - 25cm x 25cm)",Home Decor,199,PRD11148
Rangoli Large Modern Art Wall Sticker Mullticolor Vinyl Sticker 40cm or 50 cm Pack of 1,Home Decor,799,PRD11149
"Evil Eye Hanging for Home, Nazar Battu for Home Entrance Diwali Door Hanging Gift - Evil Eye for Car Hanging (8 inch, Blue",Home Decor,2000,PRD11150
"ISKCON Jagannath 108+1 Beads Polished Neem Japa Mala (Medium, Multicolour)",Home Decor,199,PRD11151
"BAASC Stock Market Chart Patterns Poster, Candlestick Chart Pattern Wall Poster, Self Adhesive,Trading Setup for Trader In",Home Decor,799,PRD11152
SF Collection Electric Direct Plug-in Mini Wooden Incense Bakhoor Burner Kapoor Dani Camphor Diffuser for Fragrance Positi,Home Decor,499,PRD11153
Stash-Pro RipperTipper Brown King Size Smoking Rolling Paper 10 Packs of 32 Leafs with 32 Filter Tips Each,Home Decor,1500,PRD11154
Chaka Chaundh - Hard Work Quotes Wall Frames - Success Motivational Posters with Frame - Motivational Quotes Wall Framed P,Home Decor,869,PRD11155
PRAHAJ Upgraded Version - Silver Twin Bell Table Alarm Clock for Heavy Sleepers Non Ticking Wind Up Clock with Night LED L,Home Decor,1499,PRD11156
"MINISO Scent Diffusers,Home Fragrance Flameless Essential Oil with Diffuser Sticks,Fabulous Day Series(Rose Charming,Pink)",Home Decor,450,PRD11157
CraftVatika Pair of Kissing Duck Decorative Showpiece Metal Swan Set Statue for Home Table Office Desk Decoration - Gift f,Home Decor,799,PRD11158
Godrej aer Power Pocket Bathroom Freshener – Sea Breeze (10g) | Lasts up to 30 days | Germ Protection,Home Decor,63,PRD11159
"Okayji Silicone Coasters Colorful Fruit Slices Theme for Coffee and Wine Lovers, Multicolour, 7-Pieces",Home Decor,310,PRD11160
"Fourwalls Beautiful Artificial Polyester and Plastic Tulip Flower Bunch (9 Head Flower, 38 cm Total Height, White, Set of 2)",Home Decor,1000,PRD11161
HiFam Magnetic Hooks for Hanging  Colorful Round Magnetic Hooks Keys Hanger Office  Holds Strong  Kitchen Fridge Refri,Home Decor,699,PRD11162
"RKR Plastic 3D DIY Frameless Designer Self Adhesive Analog Wall Clock with Big Mirror Surface Effect (70 cm X 70 cm, Black)",Home Decor,1999,PRD11163
god & gods Large Wall Sticker JUST Peel & Stick Size 50 or 60 cm Pack of 1 (Code GS422,Home Decor,799,PRD11164
"GKD Coaster Set of 6 Beautiful Wooden Coasters with Proper Coaster Stand Designer Coaster Set Fit for Tea Cups, Coffee Mug",Home Decor,999,PRD11165
AR Handicrafts Unique Sheesham Plate Holder Stand Decorative Showpiece (08 Inch),Home Decor,499,PRD11166
Artvibes Motivational Quote Decorative Wall Art MDF Wooden Wall Hanger for Living Room  Bedroom  Home Decor  Office  G,Home Decor,999,PRD11167
Woogor Feng Shui Crystal Lotus Transparent Multicolor for Positive Energy for Vastu Love Harmony Prosperity Peace Health W,Home Decor,999,PRD11168
"BRIGHTAIL INFRA 1 Box Natural Real Dried Flowers For Art Craft Mixed Soap, Candle, Scrapbook, Diy, Resin Jewellery, Pendan",Home Decor,599,PRD11169
Shubhkart Nitya Brass Prasadam Vastu Nakshi Plate 90g Traditional Bhog Plate for Puja Religious Rituals Gifting Home D,Home Decor,225,PRD11170
"Nestasia Artisanal White Praying Angel Statue with Wings and Smooth Finishing for Decoration, Living Room, Shelf, Mantel, ",Home Decor,2330,PRD11171
"SHIVAMKRAFT 12 Pieces Artificial White Fake Foam Hawaii Frangipani Beach Floating Flowers (White, 12 Pieces)",Home Decor,1200,PRD11172
Kanisha eCrafts Natural Sea Shells Mix Size - Turned Snail for Aquariums/Art and Crafts/Table Decoration (Multicolor) Pack,Home Decor,499,PRD11173
"Pure Copper Coin with Hole for wearing & puja/vesikarn puja vastu puja ghar Shanti puja for Home & Office(Copper, 10 gm)",Home Decor,149,PRD11174
Shri Kant Art Cute Owls Wall and Door Hanging for Home| Office| Living Room| Gift| Wall Decoration,Home Decor,555,PRD11175
ZEXICA® Original Agarbatti for Pooja Fragnance Incense Stick For Puja Mediatation And Negative Energy Remover 400gmAgarba,Home Decor,999,PRD11176
Indianara 4 Piece Set of Framed Wall Hanging Motivational Office Decor Art Prints 8.7 Inch X 8.7 Inch Without Glass(multic,Home Decor,1600,PRD11177
"TIED RIBBONS Artificial Lavender Flower Plant with Pot (Violet, 22.8 cm x 10.1 cm) Home Décor Items for Living Room Balcon",Home Decor,1199,PRD11178
fizzytech Snowflake String Lights 4 Meter 25 LED Lights for Indoor Outdoor Diwali Light for Decoration Operated Waterproof,Home Decor,599,PRD11179
Art Street Decorative Wall Mirror for Home and Bathroom Brown Color Small Size (12 x 14 inch),Home Decor,1000,PRD11180
"SDG Frameless Rectangular Wall Mount Mirror Silver, Size : 18 Inch X 24 Inch, Unframed",Home Decor,2000,PRD11181
Mumbai Doodle Kitchen Fridge Magnet- Pack of 1 Fridge Magnet,Home Decor,399,PRD11182
"Essancia Peppermint Essential Oil For Hair Regrowth, Skin, Face, Cold, Congestion, Steam Inhaler, Insects, Rats Repellent,",Home Decor,499,PRD11183
"SAF 7 Running Horses Vastu UV Textured Wall Painting for Home Decoration, Office, Gym, College Wall decoration Painting 12",Home Decor,999,PRD11184
Apka Mart The Online Shop Ganesh Wall Hanging Metal (Copper 18 Inch) Religious Decor for Home Entrance  Pooja Ghar Gift,Home Decor,2500,PRD11185
Shreeji Relax 240 Citronella Incense Sticks Mosquito Repellent Agarbatti - Herbal and Natural (Pack of 2 Boxes x 12 Pouche,Home Decor,360,PRD11186
"Devdarshan Special Dhoop Large, 20 Sticks in Each Unit (Pack of 24 Units)",Home Decor,720,PRD11187
"Saumic Craft Set Of Five Wall Painting With Frame For Home Decoration, Paintings for Living Room, Scenery for Home Decor (",Home Decor,2499,PRD11188
Tdas Artificial Plants with Pot Leaves Hanging Ivy Garlands Plant Greenery Vine Creeper Home Decor Door Wall Balcony Decor,Home Decor,999,PRD11189
"RHD /Metal Wall Decoration Gingo/Wall Hanging Wall Arts/wall hanging decorative item for Home, restaurant, living room, di",Home Decor,5999,PRD11190
