visitor_id,Paths_journey
007khDF9n3iCE0oChk3B9fCCo,Start > Instagram > Facebook > NULL
007kiho93030ninnh9n9773h9,Start > Youtube > Facebook > NULL
007nCAE3i0EBhEkiC3C93FEnA,Start > Facebook > NULL
007nfhk9iADhFF7ioC3inFAon,Start > Youtube > NULL
007nfoihC79f9fBkiFoin37C3,Start > Youtube > NULL
007ni9fnCi7fB099FCEFhCnCo,Start > Facebook > Conversion
007nn3ho9k7FC7B0n0FA9BhDF,Start > Youtube > Facebook > NULL
007o3F0A0fn0D9fD7FFBA7CD9,Start > Facebook > NULL
007o70A09f03CBB0AFF9FD737,Start > Youtube > NULL
007oAn0Ao3DnifAFf7oiEfC00,Start > Facebook > NULL
007oifii7i9fDn33noE9FoCE3,Start > Youtube > Facebook > NULL
007okfADfF0n00AifnokhAkiE,Start > Youtube > NULL
009009FfE3BoCD0Fif3Do00if,Start > Youtube > NULL
0090Bffn0FfiEA09Bhio3E3kh,Start > Youtube > NULL
0090CB3EnE9kBonEoh03C9BEA,Start > Youtube > NULL
009307fBDf7fCA3ChA7DEAh9F,Start > Youtube > NULL
0093Ahi9CDn7ED7Ehh9DD7Bni,Start > Youtube > NULL
0093DABFFCCEf9EFBihkFBfDh,Start > Youtube > NULL
0093nDF3k0n7BnF9BDE0E00kh,Start > Facebook > NULL
0099BDf093h0ko9AnAB79h7hE,Start > Facebook > NULL
0099Bh0AkC7hk09077E0iE97k,Start > Youtube > NULL
0099CCif7kf79E00knB7kkBnk,Start > Instagram > NULL
009A7FoE3hnok9Fh93fnin393,Start > Facebook > NULL
009A9Ei7i9k9nio3hF099f9kE,Start > Youtube > NULL
009A9iA0FfnoBhACi79oC7Ahf,Start > Youtube > NULL
009ABo9BC37A7ionE7i0nkEiC,Start > Facebook > NULL
009ADknAhE7FoBiDoFCBDin0h,Start > Facebook > NULL
009AFB9fiFfhEB3nEfDok9hDA,Start > Facebook > Instagram > NULL
009B3hhBfAfhDCEEFEnB9ABBB,Start > Youtube > Conversion
009BBEo3iCADDEABfC9k737nD,Start > Youtube > NULL
009BCFh3oE0393o93AioADA3n,Start > Facebook > NULL
009BiAE9FB300A3BEkFDB99EE,Start > Youtube > NULL
009BiB77hn3DiioFCihifDD7D,Start > Youtube > NULL
009BoBAfEfBiik0kffEnF9DA0,Start > Facebook > NULL
009CD03FCkDfAiEoo7EBh7ohn,Start > Facebook > NULL
009CDF7hCFBkkAiFD7hDDC0Eh,Start > Youtube > NULL
009CEBDoo7nE7C7FD9FBDkCDD,Start > Facebook > NULL
009CnConCEDA9n9CoFnEBooD9,Start > Youtube > NULL
009Co0C33Cf0khDBnFiEDik3D,Start > Instagram > NULL
009D7n090hFnDiBoo33nAoD3h,Start > Youtube > NULL
009E39nkAEFADiif7oFCiB7iC,Start > Facebook > Youtube > NULL
009EA9Ekk3kkC3oCC0C0k3EEo,Start > Youtube > Conversion
009EBk7Fn7ofk7ChnDio0BiDD,Start > Facebook > Youtube > NULL
009ECD79iEDFffkko0CE7nD0E,Start > Facebook > Instagram > NULL
009FEAninEFii39CB0A3BoDfC,Start > Youtube > NULL
009Fhh9FE0n33AoFA730A7990,Start > Youtube > NULL
009FhoBohiE3A9E9o0B9E90Fo,Start > Facebook > NULL
009FnDAFo0AikiiFiCDAhDfhi,Start > Youtube > NULL
009Fon9kE9kk7f3BAEfD309ho,Start > Facebook > NULL
009f0AB09F7onnnC7Fk9ohA97,Start > Facebook > Conversion
009ffkfAihBB3nDnk3E99937F,Start > Facebook > NULL
009h3AEFiDf7Df7AB77DhEoEf,Start > Facebook > NULL
009h73FD3hfhEkkEDoD3FiA3F,Start > Youtube > NULL
009hDCo09Cik7nC779hFEfoh9,Start > Youtube > NULL
009hfAAf9FfnCBnDABkiC0n3F,Start > Youtube > Facebook > NULL
009hhE3fBACh3793D9iDnoFBo,Start > Instagram > Facebook > NULL
009hhnnD0oEnC39hhC7CfnC3o,Start > Facebook > Instagram > NULL
009i3CAEho999hAhCD0oF0k90,Start > Youtube > Facebook > Instagram > NULL
009iBFD0ofEEB7DkkC73F73ff,Start > Facebook > NULL
009ifkhC000Eh03An3FiBoChk,Start > Facebook > NULL
009ikBfDFkD3io9kFin7kknFA,Start > Youtube > Facebook > NULL
009k7kBBFnii0kD0in7hhikn3,Start > Facebook > Instagram > Conversion
009kCo3fniF0BnAfFBF9F3FCi,Start > Instagram > Facebook > NULL
009khiiohA9n3Doh7oCki7Dik,Start > Facebook > Youtube > Conversion
009n0kkk9Ff0EhDE0nf9k9D03,Start > Youtube > Conversion
009nEDDE73EBn99iBFoA7BkkF,Start > Facebook > NULL
009nffF37F9iiEonEDDiDAC3n,Start > Instagram > Facebook > NULL
009noB0f9oh3AAAnD90f3AFnD,Start > Facebook > Conversion
00A07Dk3B90h30iifonk9C0hC,Start > Youtube > Facebook > Instagram > NULL
00A09CCnoi97FhFEnCf7ikiDC,Start > Instagram > Conversion
00A0EEnfhF0iC33DAiBF7ACB3,Start > Facebook > NULL
00A0nhBCA793fADnn3DDDCfhC,Start > TikTok > Conversion
00A303n03ofhBkAfon3E37okh,Start > TikTok > Conversion
00A30F7ikh0FoDD9fhA3h3DFF,Start > Facebook > NULL
00A3FfBik77FE0D9f97Dh03Bi,Start > Youtube > NULL
00A3fFCDii90CBfD00393i0FC,Start > Instagram > NULL
00A3k37ChhBADECo0EkooChkF,Start > Facebook > Conversion
00A3kDniECh9CA3CAADkFkAhi,Start > Instagram > NULL
00A3nCnfifhiDh0B90FEFA3k9,Start > Facebook > NULL
00A7BnBnEE9F9AkAnfE9oEif9,Start > Facebook > NULL
00A7DC3ffoo7fFhE0BhoCD777,Start > Facebook > Conversion
00A7hDA7FonoohCFF0ikAoA7D,Start > Facebook > NULL
00A9Dh3EDDCCi9ih0DA7fkh3f,Start > Youtube > NULL
00A9kAE9C7k37iFoDCBkEiE3i,Start > Youtube > NULL
00AA7fooE7707f9D7FDhoBf7F,Start > TikTok > Youtube > Conversion
00AAihkh39k93AEoE3BCko33C,Start > Facebook > Instagram > NULL
00AAin7fB0oBF9oDfEn9oEAoo,Start > Youtube > Conversion
00AB09CiF7DBni03i99kEBEoh,Start > Youtube > NULL
00ABA9k7ooAiFhEnkF7EoCA09,Start > Youtube > NULL
00ABABDi7n0BA0if9F3h3CknC,Start > Facebook > NULL
00ABBk3f37EB99739okCDCBAA,Start > Youtube > NULL
00ACnCkFo3DEB7nnEDFnk77oA,Start > Facebook > Instagram > NULL
